[H[2J[3Jx: 100, y: 0, z:0
x: 51.950874, y: 24.225092, z:27.189232
x: 49.846928, y: 23.244005, z:25.980762
x: 47.84644, y: 22.311161, z:24.57456
x: 45.964638, y: 21.433664, z:22.981333
x: 44.21585, y: 20.61819, z:21.213203
x: 42.613384, y: 19.870949, z:19.283628
x: 41.169426, y: 19.19762, z:17.207294
x: 39.894978, y: 18.603334, z:15.000002
x: 38.799732, y: 18.092613, z:12.67855
x: 37.89202, y: 17.66934, z:10.260607
x: 37.17876, y: 17.336742, z:7.764574
x: 36.66538, y: 17.097347, z:5.209449
x: 36.355774, y: 16.952976, z:2.6146765
x: 36.25231, y: 16.904732, z:-0.0000026226833
x: 36.355774, y: 16.952976, z:-2.6146743
x: 36.66538, y: 17.097347, z:-5.209447
x: 37.17876, y: 17.336742, z:-7.764572
x: 37.89202, y: 17.66934, z:-10.260605
x: 38.799732, y: 18.092613, z:-12.678548
x: 39.894978, y: 18.603334, z:-14.999999
x: 41.169426, y: 19.19762, z:-17.207293
x: 42.61338, y: 19.870947, z:-19.283627
x: 44.21585, y: 20.61819, z:-21.213202
x: 45.964645, y: 21.433668, z:-22.981337
x: 47.846443, y: 22.311163, z:-24.574564
x: 49.84693, y: 23.244007, z:-25.980762
x: 51.950882, y: 24.225096, z:-27.189234
x: 54.14228, y: 25.246962, z:-28.19078
x: 56.404453, y: 26.30183, z:-28.977776
x: 58.720184, y: 27.381674, z:-29.544233
x: 61.071846, y: 28.478271, z:-29.885841
x: 63.441544, y: 29.583279, z:-30
x: 65.81124, y: 30.688286, z:-29.885841
x: 68.1629, y: 31.784883, z:-29.544231
x: 70.47864, y: 32.86473, z:-28.977774
x: 72.74081, y: 33.919598, z:-28.190779
x: 74.932205, y: 34.941463, z:-27.189234
x: 77.036156, y: 35.922554, z:-25.980762
x: 79.036644, y: 36.855392, z:-24.574564
x: 80.91844, y: 37.73289, z:-22.981335
x: 82.66723, y: 38.548363, z:-21.213207
x: 84.2697, y: 39.29561, z:-19.283632
x: 85.71365, y: 39.968933, z:-17.207296
x: 86.988106, y: 40.56322, z:-15.000006
x: 88.08335, y: 41.073944, z:-12.678554
x: 88.991066, y: 41.49722, z:-10.260611
x: 89.704315, y: 41.829815, z:-7.7645783
x: 90.21771, y: 42.069214, z:-5.2094536
x: 90.52731, y: 42.21358, z:-2.6146808
x: 90.630775, y: 42.261826, z:0.0000052453665
x: 86.60254, y: 50, z:0
x: 86.50368, y: 49.94292, z:2.6146722
x: 86.20783, y: 49.772118, z:5.2094455
x: 85.71727, y: 49.488888, z:7.764571
x: 85.035706, y: 49.09539, z:10.260604
x: 84.16834, y: 48.594616, z:12.678548
x: 83.12177, y: 47.99038, z:15
x: 81.90397, y: 47.28728, z:17.207294
x: 80.52419, y: 46.490665, z:19.283627
x: 78.99295, y: 45.6066, z:21.213203
x: 77.32189, y: 44.641815, z:22.981333
x: 75.52373, y: 43.603645, z:24.574562
x: 73.61216, y: 42.5, z:25.980762
x: 71.601715, y: 41.33927, z:27.189234
x: 69.50772, y: 40.130302, z:28.190779
x: 67.34609, y: 38.882286, z:28.977774
x: 65.13329, y: 37.604725, z:29.544231
x: 62.886154, y: 36.30734, z:29.885841
x: 60.621777, y: 35, z:30
x: 58.357407, y: 33.692665, z:29.885841
x: 56.110268, y: 32.39528, z:29.544231
x: 53.89746, y: 31.117714, z:28.977774
x: 51.735832, y: 29.869698, z:28.190779
x: 49.64183, y: 28.660725, z:27.189232
x: 47.631397, y: 27.5, z:25.980762
